200 con 1,200 con 2,200 con 4,200 con 6,200 con 8,1000 con 1,1000 con 2,1000 con 4,1000 con 6,1000 con 8, con , con , con , con , con , con , con , con , con , con 
558974.00,256515,455637,608039,338843,6606019,2971046,1913953,1951237,1703888,71347074,34442690,13435944,12251967,14308651,1003892404,485198075,190176050,205354673,176485708
646914,319369,515498,684220,397443,7022113,2857204,2164631,1531955,2138109,72801223,35806568,13381542,13505465,13456620,1022090865,482814045,199738513,207466756,178537760
728879,384017,599116,762524,457955,6954639,3680710,1426827,2381090,1380230,72667382,35975006,12263856,13754534,14270358,1018918059,479289692,190862847,201075041,176708730
846281,457688,681785,844460,524282,6398740,3456587,1673687,2091397,1900181,74562569,35450486,12358759,13897501,12702308,1080269979,485034756,186364666,206407121,181278074
929226,528719,733846,907111,598042,5840236,3322459,1926513,1793716,2568544,72525889,35439091,13253529,13490465,13779245,1097474808,482837503,191088498,188878380,183866242
38345,613437,788962,966438,676199,6984763,3069526,2189956,2496611,2042107,72494593,34839872,12578449,13060100,14620049,1101404023,481848290,193071929,235958883,183898970
122554,691641,846678,27286,763179,6271260,2928056,1419667,2028337,1555119,72845362,36138041,13226978,12483693,14404605,1001329827,477575917,205649416,227893425,183240115
211957,768010,909474,99092,835739,7009157,2738747,1677153,1505405,2041585,71996436,35476791,12679102,13784082,14032707,983389372,475611646,212011784,241351451,190671442
306586,832467,969592,180109,902359,6723461,3427579,1921626,2172733,1469578,72249014,36888821,13146635,13226705,13108419,985079407,479059912,193875884,192171582,185446078
389028,891609,30926,247091,976207,7135149,3306165,1167739,1932740,2043634,70473647,36317319,13199324,13406375,12753149,984264012,480470909,195864018,167783363,186373471
472144,954566,93426,300404,37230,6754069,3064653,1445144,1807030,1525892,73104336,37164228,12906541,13597663,14254465,1105494902,482048969,204532335,169100275,186646504
567392,18066,150284,365858,116933,7282932,2949638,1755348,2703916,1977564,72377674,37518167,12479363,13626902,13641736,1109791964,482158076,225437251,169582532,183529081
655557,104048,216434,143477,207252,6594173,2741547,2213949,2309377,1407301,72312205,37119461,12994502,13336576,14050126,1109569722,477658735,201150995,170878815,182885592
748987,181848,288664,208816,282850,7023277,3423235,1590998,1867211,1877272,72284685,36037181,13561551,13174670,14244804,1118556289,478943366,211460908,168649034,182070817
833549,257366,361311,273853,344607,6339730,3118435,1848996,2672165,2334164,71864816,35616633,13250498,13421690,13195948,1127147427,479991844,200772705,168442789,186843853
912077,327716,441306,338767,411041,6586147,2846658,2115546,2390779,1786291,73200489,36912401,12659484,13273617,14191110,1121762695,477155750,224110506,172013650,187725424
998010,396506,506978,397887,474602,6642364,3699282,1435067,1925051,2293190,72352770,35908872,13505210,13748444,13256521,1121720019,469820575,214268976,170901630,180836808
102464,468255,598653,465039,548323,7527759,3418660,1768688,2585442,1766240,72985341,34972392,13576139,14035903,12968534,1102181388,472131638,209034968,170408811,181932398
190586,547433,675565,543028,616870,7096852,3356604,2134489,2370677,2210899,71880208,35790990,13290641,13715929,13579977,977686171,472704009,192246828,172686776,183226657
277963,620841,755419,610395,691896,6264986,3100778,1551782,1619632,1795397,71914365,36812883,12295451,13761963,14396374,991160221,470643348,186164806,169746209,182897121
370064,699201,834990,687776,778140,6387131,2878785,1613401,2120342,2287631,72521065,36852477,13386072,13720145,14920506,999928245,480299200,201197306,175649726,183923765
451457,775976,911621,751350,849746,7245097,3642932,1712904,1858777,1820268,72444699,36036530,12972697,13938221,13863525,1008263903,477888570,220415973,175034878,179649105
537926,865104,9831,807806,911817,7038543,3136096,1797337,2541663,2345438,71658184,35186500,12088620,12940523,14933190,994835642,475783992,249532365,179906988,179728069
644750,960206,95765,868321,977282,6085655,2743372,1855220,1813225,1814652,71679191,35034287,12666866,12784076,13536318,996350681,473681658,228159064,179374495,183644538
727750,24503,177209,925246,35816,6333827,3490999,2063247,2504350,2342144,72041809,35571770,13637958,13661903,14075781,994824108,482717555,213294760,177711546,181698813
812684,107672,243797,983174,103407,6460655,3288939,1309241,2052586,1905775,70286243,36384894,13730900,13114837,13630735,999767409,459734464,245066965,174816856,182427726
920816,183364,316363,37993,186334,6466128,3129684,1560461,1317467,2466370,71520190,35556636,12705196,12232087,14416147,999797985,476358673,244533531,175690100,177631989
2665,261103,385933,109647,263487,6439713,2957853,1842617,1773674,1952686,72431089,35834044,13634473,13867303,13784194,1000308256,475144311,254352807,175287642,183265181
93048,323880,451651,180089,344404,6461555,2785535,2100746,2261723,1456756,72953264,36048358,12725582,13823349,14477699,999118116,474663926,277791900,181189975,186158807
181580,390511,526609,274212,410299,6153389,3616337,1361031,2062433,1990174,69916875,35060636,13336820,13829955,14183622,987322631,486144228,215412255,179185812,187924020
